Name,State,Longitude,Latitude,Commodities,Significance
DeGrussa,WA,119.328132,-25.540623,"Copper, Gold, (Silver)",6
Garden Well - Erlistoun,WA,122.356,-27.9064,Gold,6
Tanami - Newmont,NT,129.9336,-20.5256,Gold,6
Majestic,WA,121.9309,-30.8976,Gold,6
Big Blow - Coolgardie,WA,121.1725,-30.9736,Gold,6
Haoma,WA,121.9189,-31.0119,Gold,6
North Point,NT,131.5473,-13.5061,Gold,6
Hill 50 - Galaxy Pits,WA,117.7955,-28.0352,Gold,6
Maxwells - Inglewood,VIC,143.868,-36.552,Gold,6
Costerfield Project,VIC,144.8015,-36.8957,"Gold, (Antimony)",6
Peak Mines Project,NSW,145.869127,-31.553942,"Gold, Copper, (Silver)",6
Challenger - Mt McClure,WA,120.9695,-27.566,Gold,6
North Royal Open Pit,WA,121.8087,-32.1326,Gold,6
Henry V,WA,120.2436,-26.6199,Gold,6
Burgandy - Calais,WA,120.2421,-26.6235,Gold,6
Calais,WA,120.2431,-26.6217,Gold,6
East Lode,WA,120.2397,-26.6337,Gold,6
Central Laverton Project,WA,122.39,-28.67,Gold,6
Chatterbox Shear Project,WA,122.317,-28.659,Gold,6
Athena,WA,121.8049,-31.4006,Gold,6
Bellerophon,WA,121.7929,-31.304,Gold,6
Hamlet,WA,121.8122,-31.4001,Gold,6
South Kalgoorlie Operations,WA,121.6148,-31.0385,Gold,6
Waroonga,WA,120.5046,-27.0078,Gold,6
Darlot,WA,121.2689,-27.8875,Gold,6
Tropicana,WA,124.5539,-29.2461,Gold,6
Eclipse - Mount Magnet,WA,117.8054,-28.1131,Gold,6
